policy,associativity,size,hits,compulsoryMisses,capacityMisses,conflictMisses,totalAccesses
FIFO,64,128,0,87,13,0,100
FIFO,1,256,2420,256,256,2068,5000
FIFO,8,8,33,8,115,344,500
FIFO,32,256,0,99,1,0,100
FIFO,32,128,5,128,356,11,500
FIFO,32,32,2,31,66,1,100
FIFO,4,8,658,8,56,4278,5000
FIFO,64,64,0,51,49,0,100
FIFO,2,32,126,32,94,248,500
FIFO,1,8,2469,8,8,2515,5000
FIFO,1,4,239,4,4,253,500
FIFO,1,64,244,64,62,130,500
FIFO,32,32,85,32,1820,3063,5000
FIFO,1,64,26,64,10,0,100
FIFO,64,128,6,128,846,20,1000
FIFO,8,8,5,8,62,25,100
FIFO,16,32,2,31,62,5,100
FIFO,32,64,7,64,415,14,500
FIFO,1,256,6,94,0,0,100
FIFO,2,8,20,8,23,49,100
FIFO,16,64,147,64,1805,2984,5000
